,Name,Longitude,Latitude,Sector,State,Highest degree offered,Total_enrollment,Fulltime_enrollment,Parttime_enrollment
1083,East Stroudsburg University of Pennsylvania,-75.172614,40.99622,"Public, 4-year or above",Pennsylvania,Master's degree,6778,5794,984
1084,Eastern University,-75.370268,40.052306,"Private not-for-profit, 4-year or above",Pennsylvania,Doctor's degree - research/scholarship and professional practice,4004,2808,1196
1085,Edinboro University of Pennsylvania,-80.126363,41.869978,"Public, 4-year or above",Pennsylvania,Master's degree,7098,5770,1328
1086,Elizabethtown College,-76.594175,40.150372,"Private not-for-profit, 4-year or above",Pennsylvania,Master's degree,1892,1856,36
1087,Franklin and Marshall College,-76.319037,40.048045,"Private not-for-profit, 4-year or above",Pennsylvania,Bachelor's degree,2297,2258,39
1088,Gannon University,-80.086258,42.126111,"Private not-for-profit, 4-year or above",Pennsylvania,Doctor's degree - research/scholarship and professional practice,4211,3111,1100
1089,Geneva College,-80.352545,40.773474,"Private not-for-profit, 4-year or above",Pennsylvania,Master's degree,1852,1669,183
1090,Gettysburg College,-77.234982,39.836091,"Private not-for-profit, 4-year or above",Pennsylvania,Bachelor's degree,2524,2517,7
1091,Gratz College,-75.133025,40.065782,"Private not-for-profit, 4-year or above",Pennsylvania,Doctor's degree - other,673,51,622
1092,Gwynedd Mercy University,-75.238052,40.197566,"Private not-for-profit, 4-year or above",Pennsylvania,Master's degree,2371,1998,373
1093,Haverford College,-75.302562,40.013368,"Private not-for-profit, 4-year or above",Pennsylvania,Bachelor's degree,1187,1187,0
1094,Holy Family University,-74.990365,40.060414,"Private not-for-profit, 4-year or above",Pennsylvania,Doctor's degree - research/scholarship,2956,1553,1403
1095,Immaculata University,-75.57063,40.027963,"Private not-for-profit, 4-year or above",Pennsylvania,Doctor's degree - research/scholarship,3675,1349,2326
1096,Indiana University of Pennsylvania-Main Campus,-79.159869,40.615589,"Public, 4-year or above",Pennsylvania,Doctor's degree - research/scholarship and professional practice,14925,12965,1960
1097,Juniata College,-78.015204,40.499511,"Private not-for-profit, 4-year or above",Pennsylvania,Master's degree,1635,1565,70
1098,Keystone College,-75.777456,41.558969,"Private not-for-profit, 4-year or above",Pennsylvania,Bachelor's degree,1595,1317,278
1099,King's College,-75.878603,41.248118,"Private not-for-profit, 4-year or above",Pennsylvania,Master's degree,2391,1991,400
1100,Kutztown University of Pennsylvania,-75.785426,40.513705,"Public, 4-year or above",Pennsylvania,Master's degree,9513,8548,965
1101,La Roche College,-80.011977,40.569777,"Private not-for-profit, 4-year or above",Pennsylvania,Master's degree,1481,1183,298
1102,La Salle University,-75.152996,40.038503,"Private not-for-profit, 4-year or above",Pennsylvania,Doctor's degree - research/scholarship and professional practice,6436,3948,2488
