,Name,Longitude,Latitude,Sector,State,Highest degree offered,Total_enrollment,Fulltime_enrollment,Parttime_enrollment
343,Calumet College of Saint Joseph,-87.492987,41.670925,"Private not-for-profit, 4-year or above",Indiana,Master's degree,1140,622,518
344,DePauw University,-86.863556,39.63953,"Private not-for-profit, 4-year or above",Indiana,Bachelor's degree,2304,2280,24
345,Earlham College,-84.911464,39.822278,"Private not-for-profit, 4-year or above",Indiana,Master's degree,1159,1099,60
346,University of Evansville,-87.531963,37.969955,"Private not-for-profit, 4-year or above",Indiana,Doctor's degree -  professional practice,2630,2433,197
347,Franklin College,-86.047182,39.478298,"Private not-for-profit, 4-year or above",Indiana,Bachelor's degree,1014,952,62
348,Goshen College,-85.826766,41.564254,"Private not-for-profit, 4-year or above",Indiana,Master's degree,888,760,128
349,Grace College and Theological Seminary,-85.813931,41.226473,"Private not-for-profit, 4-year or above",Indiana,Doctor's degree - other,1904,1416,488
350,Hanover College,-85.461086,38.712488,"Private not-for-profit, 4-year or above",Indiana,Bachelor's degree,1163,1158,5
351,Holy Cross College,-86.253668,41.699982,"Private not-for-profit, 4-year or above",Indiana,Bachelor's degree,524,496,28
352,Huntington University,-85.499624,40.89907,"Private not-for-profit, 4-year or above",Indiana,Master's degree,1124,990,134
353,Indiana University-Purdue University-Fort Wayne,-85.111747,41.115418,"Public, 4-year or above",Indiana,Master's degree,13459,7537,5922
354,Indiana University-Purdue University-Indianapolis,-86.172217,39.772948,"Public, 4-year or above",Indiana,Doctor's degree - research/scholarship and professional practice,30488,21097,9391
355,University of Indianapolis,-86.134747,39.709671,"Private not-for-profit, 4-year or above",Indiana,Doctor's degree -  professional practice,5452,3609,1843
356,University of Southern Indiana,-87.67666,37.966188,"Public, 4-year or above",Indiana,Doctor's degree - other,9902,7513,2389
357,Indiana State University,-87.407085,39.46873,"Public, 4-year or above",Indiana,Doctor's degree - research/scholarship and professional practice,12448,10068,2380
358,Indiana University-Kokomo,-86.132096,40.459913,"Public, 4-year or above",Indiana,Master's degree,4178,2063,2115
359,Indiana University-South Bend,-86.222958,41.665746,"Public, 4-year or above",Indiana,Master's degree,8073,4083,3990
360,Indiana University-Bloomington,-86.526904,39.166383,"Public, 4-year or above",Indiana,Doctor's degree - research/scholarship and professional practice,46817,37467,9350
361,Indiana University-Northwest,-87.338457,41.556723,"Public, 4-year or above",Indiana,Master's degree,6387,3358,3029
362,Indiana University-Southeast,-85.819376,38.342992,"Public, 4-year or above",Indiana,Master's degree,6733,3695,3038
363,Indiana University-East,-84.886187,39.867099,"Public, 4-year or above",Indiana,Master's degree,4456,2009,2447
364,Manchester University,-85.758762,41.011609,"Private not-for-profit, 4-year or above",Indiana,Doctor's degree -  professional practice,1349,1327,22
365,Marian University,-86.204599,39.81534,"Private not-for-profit, 4-year or above",Indiana,Doctor's degree -  professional practice,2714,1863,851
366,Indiana Wesleyan University,-85.661991,40.518495,"Private not-for-profit, 4-year or above",Indiana,Doctor's degree - research/scholarship and professional practice,14959,13321,1638
367,Martin University,-86.104771,39.79844,"Private not-for-profit, 4-year or above",Indiana,Master's degree,506,215,291
368,University of Notre Dame,-86.238959,41.703058,"Private not-for-profit, 4-year or above",Indiana,Doctor's degree - research/scholarship and professional practice,12124,11908,216
369,Oakland City University,-87.351611,38.339606,"Private not-for-profit, 4-year or above",Indiana,Doctor's degree - research/scholarship,2418,494,1924
370,Purdue University-Calumet Campus,-87.47376,41.584742,"Public, 4-year or above",Indiana,Master's degree,9422,5168,4254
371,Purdue University-North Central Campus,-86.89523,41.583788,"Public, 4-year or above",Indiana,Master's degree,6102,2732,3370
372,University of Saint Francis-Fort Wayne,-85.173694,41.087772,"Private not-for-profit, 4-year or above",Indiana,Master's degree,2381,1815,566
373,Saint Josephs College,-87.155541,40.923438,"Private not-for-profit, 4-year or above",Indiana,Master's degree,1163,1039,124
374,Saint Mary-of-the-Woods College,-87.460126,39.510543,"Private not-for-profit, 4-year or above",Indiana,Master's degree,887,548,339
375,Saint Mary's College,-86.256947,41.707274,"Private not-for-profit, 4-year or above",Indiana,Bachelor's degree,1479,1469,10
376,Taylor University,-85.496906,40.458382,"Private not-for-profit, 4-year or above",Indiana,Master's degree,2245,1929,316
377,Trine University,-85.005696,41.633389,"Private not-for-profit, 4-year or above",Indiana,Master's degree,1875,1430,445
378,Valparaiso University,-87.045853,41.463176,"Private not-for-profit, 4-year or above",Indiana,Doctor's degree - research/scholarship and professional practice,4508,4062,446
379,Wabash College,-86.905809,40.037799,"Private not-for-profit, 4-year or above",Indiana,Bachelor's degree,902,902,0
380,Briar Cliff University,-96.42696,42.526919,"Private not-for-profit, 4-year or above",Iowa,Doctor's degree -  professional practice,1174,881,293
381,Buena Vista University,-95.208053,42.642529,"Private not-for-profit, 4-year or above",Iowa,Master's degree,2399,1960,439
382,Central College,-92.918664,41.400236,"Private not-for-profit, 4-year or above",Iowa,Bachelor's degree,1386,1340,46
383,Clarke University,-90.691512,42.508619,"Private not-for-profit, 4-year or above",Iowa,Doctor's degree -  professional practice,1225,1014,211
384,Coe College,-91.657535,41.986383,"Private not-for-profit, 4-year or above",Iowa,Master's degree,1419,1351,68
385,Cornell College,-91.425435,41.925982,"Private not-for-profit, 4-year or above",Iowa,Bachelor's degree,1125,1117,8
386,Dordt College,-96.166319,43.08396,"Private not-for-profit, 4-year or above",Iowa,Master's degree,1430,1345,85
387,Drake University,-93.654062,41.60381,"Private not-for-profit, 4-year or above",Iowa,Doctor's degree - research/scholarship and professional practice,5139,4120,1019
388,University of Dubuque,-90.693568,42.498027,"Private not-for-profit, 4-year or above",Iowa,Doctor's degree - research/scholarship,2023,1754,269
389,Graceland University-Lamoni,-93.924893,40.615966,"Private not-for-profit, 4-year or above",Iowa,Doctor's degree - other,2286,1650,636
390,Grand View University,-93.605016,41.620909,"Private not-for-profit, 4-year or above",Iowa,Master's degree,2129,1728,401
391,Grinnell College,-92.721246,41.747048,"Private not-for-profit, 4-year or above",Iowa,Bachelor's degree,1721,1664,57
392,Iowa State University,-93.648353,42.026368,"Public, 4-year or above",Iowa,Doctor's degree - research/scholarship and professional practice,32955,29398,3557
393,Iowa Wesleyan College,-91.552588,40.973689,"Private not-for-profit, 4-year or above",Iowa,Bachelor's degree,599,482,117
394,University of Iowa,-91.535698,41.660695,"Public, 4-year or above",Iowa,Doctor's degree - research/scholarship and professional practice,29748,24295,5453
395,Loras College,-90.680232,42.504131,"Private not-for-profit, 4-year or above",Iowa,Master's degree,1621,1500,121
396,Luther College,-91.803971,43.313584,"Private not-for-profit, 4-year or above",Iowa,Bachelor's degree,2466,2413,53
397,Maharishi University of Management,-91.967306,41.017781,"Private not-for-profit, 4-year or above",Iowa,Doctor's degree - research/scholarship,1136,832,304
398,Morningside College,-96.360738,42.47324,"Private not-for-profit, 4-year or above",Iowa,Master's degree,2542,1275,1267
399,Mount Mercy University,-91.650991,42.001931,"Private not-for-profit, 4-year or above",Iowa,Master's degree,1761,995,766
400,University of Northern Iowa,-92.459703,42.514923,"Public, 4-year or above",Iowa,Doctor's degree - other,12159,9968,2191
401,Northwestern College,-96.058382,42.998955,"Private not-for-profit, 4-year or above",Iowa,Bachelor's degree,1233,1133,100
402,Saint Ambrose University,-90.58098,41.540081,"Private not-for-profit, 4-year or above",Iowa,Doctor's degree - research/scholarship and professional practice,3607,2832,775
403,Simpson College,-93.563471,41.365503,"Private not-for-profit, 4-year or above",Iowa,Master's degree,1773,1500,273
404,Upper Iowa University,-91.799663,42.840293,"Private not-for-profit, 4-year or above",Iowa,Master's degree,5304,3651,1653
405,Wartburg College,-92.480933,42.727629,"Private not-for-profit, 4-year or above",Iowa,Bachelor's degree,1714,1643,71
406,William Penn University,-92.648348,41.308868,"Private not-for-profit, 4-year or above",Iowa,Master's degree,1875,1655,220
407,Baker University,-95.188231,38.777278,"Private not-for-profit, 4-year or above",Kansas,Doctor's degree - research/scholarship,3076,1315,1761
408,Benedictine College,-95.111424,39.572953,"Private not-for-profit, 4-year or above",Kansas,Master's degree,2177,1796,381
409,Bethany College,-97.673173,38.5786,"Private not-for-profit, 4-year or above",Kansas,Bachelor's degree,665,603,62
410,Bethel College-North Newton,-97.342572,38.07525,"Private not-for-profit, 4-year or above",Kansas,Bachelor's degree,482,464,18
411,Central Christian College of Kansas,-97.667373,38.357964,"Private not-for-profit, 4-year or above",Kansas,Bachelor's degree,1037,741,296
412,Donnelly College,-94.65103,39.112227,"Private not-for-profit, 4-year or above",Kansas,Bachelor's degree,474,271,203
413,Emporia State University,-96.179454,38.412583,"Public, 4-year or above",Kansas,Doctor's degree - research/scholarship,6033,3787,2246
414,Fort Hays State University,-99.340493,38.872436,"Public, 4-year or above",Kansas,Master's degree,13441,5999,7442
415,Friends University,-97.366666,37.678495,"Private not-for-profit, 4-year or above",Kansas,Master's degree,2178,1206,972
416,University of Kansas,-95.24587,38.957351,"Public, 4-year or above",Kansas,Doctor's degree - research/scholarship and professional practice,26968,23034,3934
417,Newman University,-97.378803,37.672306,"Private not-for-profit, 4-year or above",Kansas,Master's degree,3736,1275,2461
418,Kansas State University,-96.581077,39.188616,"Public, 4-year or above",Kansas,Doctor's degree - research/scholarship and professional practice,24581,20549,4032
419,Kansas Wesleyan University,-97.609476,38.813923,"Private not-for-profit, 4-year or above",Kansas,Master's degree,729,624,105
420,McPherson College,-97.6443,38.371464,"Private not-for-profit, 4-year or above",Kansas,Master's degree,656,603,53
421,MidAmerica Nazarene University,-94.782586,38.872608,"Private not-for-profit, 4-year or above",Kansas,Master's degree,1907,1491,416
422,Ottawa University-Ottawa,-95.263776,38.602899,"Private not-for-profit, 4-year or above",Kansas,Master's degree,558,523,35
423,Ottawa University-Kansas City,-94.68937,38.930925,"Private not-for-profit, 4-year or above",Kansas,Master's degree,356,0,356
424,Pittsburg State University,-94.704782,37.3913,"Public, 4-year or above",Kansas,Master's degree,7400,6006,1394
425,University of Saint Mary,-94.906935,39.277308,"Private not-for-profit, 4-year or above",Kansas,Doctor's degree -  professional practice,1325,914,411
426,Southwestern College,-96.9783,37.2493,"Private not-for-profit, 4-year or above",Kansas,Doctor's degree - other,1661,574,1087
427,Sterling College,-98.209966,38.219783,"Private not-for-profit, 4-year or above",Kansas,Bachelor's degree,690,595,95
428,Tabor College,-97.20096,38.348606,"Private not-for-profit, 4-year or above",Kansas,Master's degree,736,565,171
429,Washburn University,-95.702325,39.034977,"Public, 4-year or above",Kansas,Doctor's degree -  professional practice,6973,4562,2411
430,Wichita State University,-97.296733,37.716484,"Public, 4-year or above",Kansas,Doctor's degree - research/scholarship and professional practice,14386,10184,4202
431,Alice Lloyd College,-82.875068,37.335087,"Private not-for-profit, 4-year or above",Kentucky,Bachelor's degree,631,606,25
432,Asbury University,-84.662606,37.862029,"Private not-for-profit, 4-year or above",Kentucky,Master's degree,1797,1390,407
433,Bellarmine University,-85.7049,38.219138,"Private not-for-profit, 4-year or above",Kentucky,Doctor's degree - research/scholarship and professional practice,3419,2682,737
434,Berea College,-84.289332,37.573334,"Private not-for-profit, 4-year or above",Kentucky,Bachelor's degree,1623,1587,36
435,Brescia University,-87.111533,37.768989,"Private not-for-profit, 4-year or above",Kentucky,Master's degree,949,695,254
436,Campbellsville University,-85.348943,37.343342,"Private not-for-profit, 4-year or above",Kentucky,Master's degree,3520,2195,1325
437,Centre College,-84.779175,37.645102,"Private not-for-profit, 4-year or above",Kentucky,Bachelor's degree,1381,1378,3
438,University of the Cumberlands,-84.162375,36.736489,"Private not-for-profit, 4-year or above",Kentucky,Doctor's degree - research/scholarship,4924,2439,2485
439,Eastern Kentucky University,-84.301356,37.740396,"Public, 4-year or above",Kentucky,Doctor's degree -  professional practice,16111,11651,4460
440,Georgetown College,-84.554583,38.207934,"Private not-for-profit, 4-year or above",Kentucky,Master's degree,1399,1017,382
441,Kentucky State University,-84.855488,38.201056,"Public, 4-year or above",Kentucky,Master's degree,2533,1887,646
442,Kentucky Wesleyan College,-87.121984,37.744667,"Private not-for-profit, 4-year or above",Kentucky,Bachelor's degree,657,621,36
443,University of Kentucky,-84.509177,38.032393,"Public, 4-year or above",Kentucky,Doctor's degree - research/scholarship and professional practice,28435,25658,2777
444,Kentucky Christian University,-82.946883,38.339002,"Private not-for-profit, 4-year or above",Kentucky,Master's degree,594,496,98
445,Lindsey Wilson College,-85.299909,37.101853,"Private not-for-profit, 4-year or above",Kentucky,Master's degree,2644,2520,124
446,University of Louisville,-85.758843,38.215752,"Public, 4-year or above",Kentucky,Doctor's degree - research/scholarship and professional practice,21444,16364,5080
447,Mid-Continent University,-88.648361,36.815418,"Private not-for-profit, 4-year or above",Kentucky,Master's degree,2251,1905,346
448,Midway College,-84.679335,38.144432,"Private not-for-profit, 4-year or above",Kentucky,Master's degree,1351,745,606
449,Morehead State University,-83.429742,38.188462,"Public, 4-year or above",Kentucky,Doctor's degree - other,11358,6472,4886
450,Murray State University,-88.323493,36.61241,"Public, 4-year or above",Kentucky,Doctor's degree -  professional practice,10943,7838,3105
451,Northern Kentucky University,-84.465959,39.029221,"Public, 4-year or above",Kentucky,Doctor's degree - research/scholarship and professional practice,15263,10597,4666
452,University of Pikeville,-82.520265,37.478835,"Private not-for-profit, 4-year or above",Kentucky,Doctor's degree -  professional practice,2205,1749,456
453,Saint Catharine College,-85.261372,37.708833,"Private not-for-profit, 4-year or above",Kentucky,Master's degree,767,575,192
454,Spalding University,-85.75905,38.241815,"Private not-for-profit, 4-year or above",Kentucky,Doctor's degree - research/scholarship,2367,1726,641
455,Thomas More College,-84.568923,39.022963,"Private not-for-profit, 4-year or above",Kentucky,Master's degree,1600,1221,379
456,Transylvania University,-84.493883,38.053236,"Private not-for-profit, 4-year or above",Kentucky,Bachelor's degree,1082,1067,15
457,Union College,-83.887982,36.869066,"Private not-for-profit, 4-year or above",Kentucky,Master's degree,1164,858,306
458,Western Kentucky University,-86.455898,36.985718,"Public, 4-year or above",Kentucky,Doctor's degree -  professional practice,20448,14315,6133
459,Centenary College of Louisiana,-93.731518,32.483004,"Private not-for-profit, 4-year or above",Louisiana,Master's degree,661,578,83
460,Dillard University,-90.065348,29.996468,"Private not-for-profit, 4-year or above",Louisiana,Bachelor's degree,1183,1128,55
461,Grambling State University,-92.717367,32.522702,"Public, 4-year or above",Louisiana,Doctor's degree - research/scholarship,5071,4325,746
462,Louisiana State University-Alexandria,-92.414409,31.178616,"Public, 4-year or above",Louisiana,Bachelor's degree,2229,1257,972
463,Louisiana State University and Agricultural & Mechanical College,-91.196656,30.552111,"Public, 4-year or above",Louisiana,Doctor's degree - research/scholarship and professional practice,30478,27172,3306
464,Louisiana State University-Shreveport,-93.703762,32.428768,"Public, 4-year or above",Louisiana,Master's degree,4114,2229,1885
465,Louisiana College,-92.425567,31.322286,"Private not-for-profit, 4-year or above",Louisiana,Master's degree,1400,1092,308
466,Louisiana Tech University,-92.64964,32.525518,"Public, 4-year or above",Louisiana,Doctor's degree - research/scholarship and professional practice,11015,7549,3466
467,Loyola University New Orleans,-90.120417,29.936141,"Private not-for-profit, 4-year or above",Louisiana,Doctor's degree -  professional practice,4686,3589,1097
468,McNeese State University,-93.215648,30.180762,"Public, 4-year or above",Louisiana,Master's degree,8341,6307,2034
469,University of New Orleans,-90.068506,30.028539,"Public, 4-year or above",Louisiana,Doctor's degree - research/scholarship,9323,6548,2775
470,Nicholls State University,-90.802906,29.792689,"Public, 4-year or above",Louisiana,Master's degree,6532,4947,1585
471,University of Louisiana at Monroe,-92.073855,32.527957,"Public, 4-year or above",Louisiana,Doctor's degree - research/scholarship and professional practice,8645,5739,2906
472,Northwestern State University of Louisiana,-93.097715,31.750675,"Public, 4-year or above",Louisiana,Master's degree,8944,5249,3695
473,Our Lady of Holy Cross College,-89.997055,29.912539,"Private not-for-profit, 4-year or above",Louisiana,Master's degree,1112,602,510
474,Southeastern Louisiana University,-90.468558,30.51358,"Public, 4-year or above",Louisiana,Doctor's degree - research/scholarship and professional practice,14934,10360,4574
475,Southern University and A & M College,-91.190105,30.524558,"Public, 4-year or above",Louisiana,Doctor's degree - research/scholarship and professional practice,6777,5641,1136
476,Southern University at New Orleans,-90.044379,30.02669,"Public, 4-year or above",Louisiana,Master's degree,2292,1655,637
477,University of Louisiana at Lafayette,-92.01941,30.215283,"Public, 4-year or above",Louisiana,Doctor's degree - research/scholarship and professional practice,16646,13221,3425
478,Tulane University of Louisiana,-90.120409,29.939696,"Private not-for-profit, 4-year or above",Louisiana,Doctor's degree - research/scholarship and professional practice,12938,10572,2366
479,Xavier University of Louisiana,-90.107307,29.964162,"Private not-for-profit, 4-year or above",Louisiana,Doctor's degree -  professional practice,3121,2942,179
480,College of the Atlantic,-68.228849,44.399584,"Private not-for-profit, 4-year or above",Maine,Master's degree,370,351,19
481,Bates College,-70.203333,44.105299,"Private not-for-profit, 4-year or above",Maine,Bachelor's degree,1791,1791,0
482,Bowdoin College,-69.965165,43.906969,"Private not-for-profit, 4-year or above",Maine,Bachelor's degree,1795,1791,4
483,Colby College,-69.66337,44.564211,"Private not-for-profit, 4-year or above",Maine,Bachelor's degree,1820,1820,0
484,Husson University,-68.791323,44.828888,"Private not-for-profit, 4-year or above",Maine,Doctor's degree -  professional practice,3049,2288,761
485,University of Maine at Augusta,-69.796396,44.337746,"Public, 4-year or above",Maine,Bachelor's degree,4770,1726,3044
486,University of Maine at Farmington,-70.147469,44.668,"Public, 4-year or above",Maine,Master's degree,2061,1783,278
487,University of Maine at Fort Kent,-68.588364,47.250306,"Public, 4-year or above",Maine,Bachelor's degree,1209,594,615
488,University of Maine at Machias,-67.456534,44.709895,"Public, 4-year or above",Maine,Bachelor's degree,892,439,453
489,University of Maine,-68.673839,44.895966,"Public, 4-year or above",Maine,Doctor's degree - research/scholarship,11247,8739,2508
490,Maine Maritime Academy,-68.803214,44.3873,"Public, 4-year or above",Maine,Master's degree,1018,1001,17
491,University of Maine at Presque Isle,-68.016516,46.672377,"Public, 4-year or above",Maine,Bachelor's degree,1263,718,545
492,University of New England,-70.385882,43.458172,"Private not-for-profit, 4-year or above",Maine,Doctor's degree - research/scholarship and professional practice,6032,4961,1071
493,Saint Joseph's College of Maine,-70.483486,43.82651,"Private not-for-profit, 4-year or above",Maine,Master's degree,1614,896,718
494,University of Southern Maine,-70.276002,43.662637,"Public, 4-year or above",Maine,Doctor's degree - research/scholarship and professional practice,8923,5020,3903
495,Thomas College,-69.662923,44.524046,"Private not-for-profit, 4-year or above",Maine,Master's degree,1522,835,687
496,Unity College,-69.332276,44.603165,"Private not-for-profit, 4-year or above",Maine,Bachelor's degree,553,547,6
497,University of Baltimore,-76.616591,39.305834,"Public, 4-year or above",Maryland,Doctor's degree - research/scholarship and professional practice,6518,3457,3061
498,Bowie State University,-76.759721,39.018185,"Public, 4-year or above",Maryland,Doctor's degree - research/scholarship,5561,3974,1587
499,Washington Adventist University,-77.00131,38.987206,"Private not-for-profit, 4-year or above",Maryland,Master's degree,1185,874,311
500,Coppin State University,-76.658547,39.310786,"Public, 4-year or above",Maryland,Doctor's degree -  professional practice,3383,2384,999
501,Frostburg State University,-78.933871,39.651509,"Public, 4-year or above",Maryland,Doctor's degree -  professional practice,5473,4408,1065
502,Goucher College,-76.594843,39.410175,"Private not-for-profit, 4-year or above",Maryland,Master's degree,2111,1585,526
503,Hood College,-77.419282,39.421908,"Private not-for-profit, 4-year or above",Maryland,Master's degree,2392,1406,986
504,Johns Hopkins University,-76.620799,39.32838,"Private not-for-profit, 4-year or above",Maryland,Doctor's degree - research/scholarship and professional practice,20918,13256,7662
505,Loyola University Maryland,-76.623417,39.346044,"Private not-for-profit, 4-year or above",Maryland,Doctor's degree - research/scholarship and professional practice,5977,4585,1392
506,University of Maryland-University College,-76.954104,38.986299,"Public, 4-year or above",Maryland,Doctor's degree -  professional practice,39557,6131,33426
507,University of Maryland-Baltimore County,-76.711607,39.256686,"Public, 4-year or above",Maryland,Doctor's degree - research/scholarship,13908,10699,3209
508,University of Maryland-College Park,-76.939704,38.988607,"Public, 4-year or above",Maryland,Doctor's degree - research/scholarship and professional practice,37272,32199,5073
509,University of Maryland Eastern Shore,-75.687227,38.211188,"Public, 4-year or above",Maryland,Doctor's degree - research/scholarship and professional practice,4220,3601,619
510,Morgan State University,-76.584238,39.344235,"Public, 4-year or above",Maryland,Doctor's degree - research/scholarship,7546,6101,1445
511,Mount St Mary's University,-77.35222,39.680632,"Private not-for-profit, 4-year or above",Maryland,Master's degree,2240,1907,333
512,Notre Dame of Maryland University,-76.619701,39.351307,"Private not-for-profit, 4-year or above",Maryland,Doctor's degree - research/scholarship and professional practice,2877,888,1989
513,Salisbury University,-75.605705,38.345447,"Public, 4-year or above",Maryland,Doctor's degree -  professional practice,8643,7665,978
514,St Mary's College of Maryland,-76.425706,38.188615,"Public, 4-year or above",Maryland,Master's degree,1858,1789,69
515,Sojourner-Douglass College,-76.598191,39.296333,"Private not-for-profit, 4-year or above",Maryland,Master's degree,1080,549,531
516,St John's College,-76.491397,38.981513,"Private not-for-profit, 4-year or above",Maryland,Master's degree,490,486,4
517,Towson University,-76.612268,39.393008,"Public, 4-year or above",Maryland,Doctor's degree - research/scholarship and professional practice,22499,17786,4713
518,Maryland University of Integrative Health,-76.888025,39.165872,"Private not-for-profit, 4-year or above",Maryland,Master's degree,591,447,144
519,Stevenson University,-76.701247,39.421264,"Private not-for-profit, 4-year or above",Maryland,Master's degree,4404,3368,1036
520,Washington College,-76.06878,39.217329,"Private not-for-profit, 4-year or above",Maryland,Master's degree,1512,1441,71
521,McDaniel College,-77.001662,39.584879,"Private not-for-profit, 4-year or above",Maryland,Master's degree,3229,1817,1412
522,American International College,-72.558507,42.112708,"Private not-for-profit, 4-year or above",Massachusetts,Doctor's degree - research/scholarship and professional practice,3657,1722,1935
523,Amherst College,-72.518493,42.372459,"Private not-for-profit, 4-year or above",Massachusetts,Bachelor's degree,1785,1785,0
524,Anna Maria College,-71.918961,42.33055,"Private not-for-profit, 4-year or above",Massachusetts,Master's degree,1540,907,633
525,Assumption College,-71.828387,42.295435,"Private not-for-profit, 4-year or above",Massachusetts,Master's degree,2756,2192,564
526,Bay Path College,-72.583974,42.055364,"Private not-for-profit, 4-year or above",Massachusetts,Master's degree,2357,1588,769
527,Becker College,-71.811895,42.26918,"Private not-for-profit, 4-year or above",Massachusetts,Bachelor's degree,1902,1449,453
528,Bentley University,-71.220148,42.388798,"Private not-for-profit, 4-year or above",Massachusetts,Doctor's degree - research/scholarship,5658,4893,765
529,Boston College,-71.171488,42.337688,"Private not-for-profit, 4-year or above",Massachusetts,Doctor's degree - research/scholarship and professional practice,14309,12916,1393
530,Boston University,-71.09984,42.349581,"Private not-for-profit, 4-year or above",Massachusetts,Doctor's degree - research/scholarship and professional practice,32411,25797,6614
531,Brandeis University,-71.254716,42.364947,"Private not-for-profit, 4-year or above",Massachusetts,Doctor's degree - research/scholarship,5825,5386,439
532,Bridgewater State University,-70.966058,41.987785,"Public, 4-year or above",Massachusetts,Master's degree,11267,8473,2794
533,Cambridge College,-71.11084,42.369193,"Private not-for-profit, 4-year or above",Massachusetts,Doctor's degree - research/scholarship,3114,1198,1916
534,Clark University,-71.823537,42.251064,"Private not-for-profit, 4-year or above",Massachusetts,Doctor's degree - research/scholarship,3551,3153,398
535,Curry College,-71.114007,42.240616,"Private not-for-profit, 4-year or above",Massachusetts,Master's degree,3074,2106,968
536,Eastern Nazarene College,-71.011238,42.271214,"Private not-for-profit, 4-year or above",Massachusetts,Master's degree,1478,1409,69
537,Emerson College,-71.074037,42.35532,"Private not-for-profit, 4-year or above",Massachusetts,Master's degree,4561,4375,186
538,Emmanuel College,-71.103038,42.341191,"Private not-for-profit, 4-year or above",Massachusetts,Master's degree,2436,1874,562
539,Endicott College,-70.840729,42.554177,"Private not-for-profit, 4-year or above",Massachusetts,Doctor's degree - research/scholarship,5029,2819,2210
540,Fisher College,-71.074125,42.355253,"Private not-for-profit, 4-year or above",Massachusetts,Bachelor's degree,1930,1229,701
541,Fitchburg State University,-71.789354,42.589345,"Public, 4-year or above",Massachusetts,Master's degree,6680,3632,3048
542,Framingham State University,-71.437175,42.297289,"Public, 4-year or above",Massachusetts,Master's degree,6429,3982,2447
543,Gordon College,-70.819133,42.588173,"Private not-for-profit, 4-year or above",Massachusetts,Master's degree,2073,1768,305
544,Hampshire College,-72.532401,42.324772,"Private not-for-profit, 4-year or above",Massachusetts,Bachelor's degree,1492,1492,0
545,Harvard University,-71.118177,42.374429,"Private not-for-profit, 4-year or above",Massachusetts,Doctor's degree - research/scholarship and professional practice,28297,20370,7927
546,College of the Holy Cross,-71.808627,42.238942,"Private not-for-profit, 4-year or above",Massachusetts,Bachelor's degree,2912,2877,35
547,Lasell College,-71.243738,42.342712,"Private not-for-profit, 4-year or above",Massachusetts,Master's degree,2081,1767,314
548,Lesley University,-71.115601,42.378429,"Private not-for-profit, 4-year or above",Massachusetts,Doctor's degree - research/scholarship,5195,2554,2641
549,University of Massachusetts-Lowell,-71.325081,42.65372,"Public, 4-year or above",Massachusetts,Doctor's degree - research/scholarship and professional practice,16932,10322,6610
550,University of Massachusetts-Amherst,-72.52613,42.386105,"Public, 4-year or above",Massachusetts,Doctor's degree - research/scholarship and professional practice,28518,22808,5710
551,University of Massachusetts-Boston,-71.038653,42.314541,"Public, 4-year or above",Massachusetts,Doctor's degree - research/scholarship and professional practice,16277,9999,6278
552,Massachusetts Institute of Technology,-71.092115,42.360095,"Private not-for-profit, 4-year or above",Massachusetts,Doctor's degree - research/scholarship,11301,11138,163
553,Massachusetts Maritime Academy,-70.623953,41.740538,"Public, 4-year or above",Massachusetts,Master's degree,1476,1333,143
554,Merrimack College,-71.124216,42.668352,"Private not-for-profit, 4-year or above",Massachusetts,Master's degree,3067,2790,277
555,Mount Holyoke College,-72.573625,42.257588,"Private not-for-profit, 4-year or above",Massachusetts,Master's degree,2251,2188,63
556,Mount Ida College,-71.194658,42.293205,"Private not-for-profit, 4-year or above",Massachusetts,Master's degree,1288,1176,112
557,Newbury College,-71.142082,42.331032,"Private not-for-profit, 4-year or above",Massachusetts,Bachelor's degree,962,851,111
558,Nichols College,-71.929644,42.042462,"Private not-for-profit, 4-year or above",Massachusetts,Master's degree,1459,1138,321
559,Massachusetts College of Liberal Arts,-73.1035,42.692427,"Public, 4-year or above",Massachusetts,Master's degree,1716,1374,342
560,Northeastern University,-71.088782,42.339992,"Private not-for-profit, 4-year or above",Massachusetts,Doctor's degree - research/scholarship and professional practice,20053,17957,2096
561,College of Our Lady of the Elms,-72.601541,42.14179,"Private not-for-profit, 4-year or above",Massachusetts,Master's degree,1678,1021,657
562,Pine Manor College,-71.156973,42.319568,"Private not-for-profit, 4-year or above",Massachusetts,Master's degree,346,338,8
563,Salem State University,-70.889321,42.502879,"Public, 4-year or above",Massachusetts,Master's degree,9301,6194,3107
564,Simmons College,-71.099967,42.3393,"Private not-for-profit, 4-year or above",Massachusetts,Doctor's degree - research/scholarship and professional practice,4655,2335,2320
565,Bard College at Simon's Rock,-73.380008,42.209241,"Private not-for-profit, 4-year or above",Massachusetts,Bachelor's degree,350,341,9
566,Smith College,-72.638094,42.317933,"Private not-for-profit, 4-year or above",Massachusetts,Doctor's degree - research/scholarship,3033,2937,96
567,Springfield College,-72.555688,42.105033,"Private not-for-profit, 4-year or above",Massachusetts,Doctor's degree - research/scholarship and professional practice,3255,3004,251
568,University of Massachusetts-Dartmouth,-71.005528,41.628861,"Public, 4-year or above",Massachusetts,Doctor's degree - research/scholarship and professional practice,9053,7060,1993
569,Stonehill College,-71.078123,42.061448,"Private not-for-profit, 4-year or above",Massachusetts,Bachelor's degree,2481,2458,23
